title,genre,year,director1,producer1,producer2,runningTime,writer1,writer2,actor1,actor2
Tunneling,Short,2014,Huang  James (II),Crapanzano  Massimo,Huang  James (II),5,Crapanzano  Massimo,Lau  Alexander (III),Pelletier  William,?
Rueda de sospechosos,Mystery,1964,Fern?ndez  Ram?n (I),Urrutia  Enrique (I),?,79,Fern?ndez  Ram?n (I),Fern?ndez  Ram?n (I),Camardiel  Roberto,Su?rez  Jos? (I)
The Lake House,Drama,2006,Agresti  Alejandro,Berman  Bruce (I),Davison  Doug,99,Auburn  David,Kim  Eun-Jeong (I),Moss-Bachrach  Ebon,Plummer  Christopher (I)
The Lake House,Fantasy,2006,Agresti  Alejandro,Berman  Bruce (I),Davison  Doug,99,Auburn  David,Kim  Eun-Jeong (I),Moss-Bachrach  Ebon,Plummer  Christopher (I)
The Lake House,Romance,2006,Agresti  Alejandro,Berman  Bruce (I),Davison  Doug,99,Auburn  David,Kim  Eun-Jeong (I),Moss-Bachrach  Ebon,Plummer  Christopher (I)
Deep Blue Sea,Action,1999,Harlin  Renny,Berman  Bruce (I),Goldsman  Akiva,105,Kennedy  Duncan (I),Powers  Donna (I),Jackson  Samuel L.,Jane  Thomas
Deep Blue Sea,Sci-Fi,1999,Harlin  Renny,Berman  Bruce (I),Goldsman  Akiva,105,Kennedy  Duncan (I),Powers  Donna (I),Jackson  Samuel L.,Jane  Thomas
Deep Blue Sea,Thriller,1999,Harlin  Renny,Berman  Bruce (I),Goldsman  Akiva,105,Kennedy  Duncan (I),Powers  Donna (I),Jackson  Samuel L.,Jane  Thomas
I lygeri,Adventure,1968,Katsimitsoulias  Andreas,Katsimitsoulias  Andreas,?,86,Matsas  Nestoras,?,Briollas  Errikos,Katrakis  Manos
I lygeri,Drama,1968,Katsimitsoulias  Andreas,Katsimitsoulias  Andreas,?,86,Matsas  Nestoras,?,Briollas  Errikos,Katrakis  Manos
La noche de los asesinos,Crime,1974,Franco  Jes?s (I),Marcos  Arturo (I),?,82,Franco  Jes?s (I),Poe  Edgar Allan,Berger  William (I),Dalb?s  Alberto
La noche de los asesinos,Horror,1974,Franco  Jes?s (I),Marcos  Arturo (I),?,82,Franco  Jes?s (I),Poe  Edgar Allan,Berger  William (I),Dalb?s  Alberto
La noche de los asesinos,Mystery,1974,Franco  Jes?s (I),Marcos  Arturo (I),?,82,Franco  Jes?s (I),Poe  Edgar Allan,Berger  William (I),Dalb?s  Alberto
I demoni di San Pietroburgo,Drama,2008,Montaldo  Giuliano,Ferri  Elda,Gallozzi  Giulio,118,Konchalovskiy  Andrey,Montaldo  Giuliano,Herlitzka  Roberto,Manojlovic  Predrag
Lost in the Stars,Drama,1974,Mann  Daniel (I),Goldston  Robert A.,Landau  Ely A.,97,Anderson  Maxwell (I),Hayes  Alfred (I),Davis  Clifton (I),Peters  Brock
Lost in the Stars,Musical,1974,Mann  Daniel (I),Goldston  Robert A.,Landau  Ely A.,97,Anderson  Maxwell (I),Hayes  Alfred (I),Davis  Clifton (I),Peters  Brock
Play Motel,Crime,1979,Gariazzo  Mario,Novelli  Armando,?,90,Gariazzo  Mario,?,Cutini  Mario,Lovelock  Ray
Play Motel,Horror,1979,Gariazzo  Mario,Novelli  Armando,?,90,Gariazzo  Mario,?,Cutini  Mario,Lovelock  Ray
Play Motel,Romance,1979,Gariazzo  Mario,Novelli  Armando,?,90,Gariazzo  Mario,?,Cutini  Mario,Lovelock  Ray
Play Motel,Thriller,1979,Gariazzo  Mario,Novelli  Armando,?,90,Gariazzo  Mario,?,Cutini  Mario,Lovelock  Ray
Uuno Turhapuro herra Helsingin herra,Comedy,1991,Kokkonen  Ere,Pasanen  Spede,?,94,Kokkonen  Ere,Kokkonen  Ere,H?m?l?inen  Tapio,Loiri  Vesa-Matti
