movie_id,title,genre0,genre1,year,cast0,cast1,director,writer,runtime,kind,distributors,languages,countries,rating,producer
770828,Man of Steel,Action,Adventure,2013,Henry Cavill,Amy Adams,Zack Snyder,David S. Goyer,143,movie,20th Century Fox,English,USA,7.2,Wesley Coller
1663662,Pacific Rim,Action,Adventure,2013,Charlie Hunnam,Diego Klattenhoff,Guillermo del Toro,Travis Beacham,131,movie,China Film Co.,English,USA,7,Chen On Chu
1951264,The Hunger Games: Catching Fire,Adventure,Sci-Fi,2013,Jennifer Lawrence,Liam Hemsworth,Francis Lawrence,Simon Beaufoy,146,movie,Belga Films,English,USA,7.6,Suzanne Collins
1210819,The Lone Ranger,Action,Adventure,2013,Johnny Depp,Armie Hammer,Gore Verbinski,Justin Haythe,149,movie,B&H Film Distribution,English,USA,6.5,Jerry Bruckheimer
1430132,The Wolverine,Action,Adventure,2013,Hugh Jackman,Tao Okamoto,James Mangold,Mark Bomback,126,movie,20th Century Fox Netherlands,English,USA,6.7,Joseph M. Caracciolo Jr.
1535108,Elysium,Action,Drama,2013,Matt Damon,Jodie Foster,Neill Blomkamp,Neill Blomkamp,109,movie,Sony Pictures Entertainment (SPE),English,USA,6.6,Sue Baden-Powell
1815862,After Earth,Action,Adventure,2013,Jaden Smith,Will Smith,M. Night Shyamalan,Gary Whitta,100,movie,ACME Film,English,USA,4.9,James Lassiter
1300854,Iron Man 3,Action,Adventure,2013,Robert Downey Jr.,Gwyneth Paltrow,Shane Black,Drew Pearce,130,movie,Andes Films,English,USA,7.3,Victoria Alonso
1245492,This Is the End,Comedy,Fantasy,2013,James Franco,Jonah Hill,Evan Goldberg,Seth Rogen,107,movie,Sony Pictures Entertainment (SPE),English,USA,6.7,Jay Baruchel
790736,R.I.P.D.,Action,Comedy,2013,Jeff Bridges,Ryan Reynolds,Robert Schwentke,Phil Hay,96,movie,B&H Film Distribution,English,USA,5.6,David Dobkin
1981115,Thor: The Dark World,Action,Adventure,2013,Chris Hemsworth,Natalie Portman,Alan Taylor,Christopher Yost,112,movie,Walt Disney Studios Motion Pictures,English,USA,7.1,Victoria Alonso
1408101,Star Trek Into Darkness,Action,Adventure,2013,Chris Pine,Zachary Quinto,J.J. Abrams,Roberto Orci,132,movie,B&H Film Distribution,English,USA,7.8,J.J. Abrams
1670345,Now You See Me,Crime,Mystery,2013,Jesse Eisenberg,Mark Ruffalo,Louis Leterrier,Ed Solomon,115,movie,UMN,English,France,7.3,Bobby Cohen
1951261,The Hangover Part III,Comedy,Comedy,2013,Bradley Cooper,Ed Helms,Todd Phillips,Todd Phillips,100,movie,20th Century Fox,English,USA,5.9,Scott Budnick
